X,Y,|u|,ux,uy,Status,elastic_strain_xx,elastic_strain_yy,elastic_strain_zz,elastic_strain_xy,plastic_strain_xx,plastic_strain_yy,plastic_strain_zz,plastic_strain_xy,Mises,Stress_xx,Stress_yy,Stress_zz,Stress_xy,strain_xx,strain_yy,strain_xy
2.4,0,0,1.68E-38,-3.30E-37,0,-2.50E-06,-0.00152487,0,0.00242989,0,0,0,0,29.9773,-13.2465,-30.8122,-13.2176,14.0186,-2.50E-06,-0.00152487,2.43E-03
2.44,0,0,1.97E-38,-3.21E-37,0,-3.39E-06,-0.00149917,0,0.0024212,0,0,0,0,29.7307,-13.0421,-30.3011,-13.003,13.9685,-3.39E-06,-0.00149917,2.42E-03
2.48,0,0,2.25E-38,-3.12E-37,0,-4.26E-06,-0.0014736,0,0.00241076,0,0,0,0,29.472,-12.8384,-29.7923,-12.7892,13.9082,-4.26E-06,-0.0014736,2.41E-03
2.52,0,0,2.50E-38,-3.04E-37,0,-5.11E-06,-0.00144818,0,0.00239861,0,0,0,0,29.2015,-12.6355,-29.2863,-12.5765,13.8382,-5.11E-06,-0.00144818,2.40E-03
2.56,0,0,2.74E-38,-2.95E-37,0,-5.94E-06,-0.00142292,0,0.00238481,0,0,0,0,28.9195,-12.4337,-28.7835,-12.3651,13.7585,-5.94E-06,-0.00142292,2.38E-03
2.6,0,0,2.95E-38,-2.87E-37,0,-6.74E-06,-0.00139786,0,0.00236939,0,0,0,0,28.6265,-12.233,-28.2844,-12.1552,13.6696,-6.74E-06,-0.00139786,2.37E-03
2.64,0,0,3.14E-38,-2.80E-37,0,-7.52E-06,-0.00137301,0,0.00235242,0,0,0,0,28.3229,-12.0338,-27.7894,-11.9469,13.5716,-7.52E-06,-0.00137301,2.35E-03
2.68,0,0,3.31E-38,-2.72E-37,0,-8.28E-06,-0.00134839,0,0.00233392,0,0,0,0,28.009,-11.8361,-27.2989,-11.7405,13.4649,-8.28E-06,-0.00134839,2.33E-03
2.72,0,0,3.46E-38,-2.65E-37,0,-9.02E-06,-0.00132403,0,0.00231397,0,0,0,0,27.6853,-11.6401,-26.8133,-11.536,13.3498,-9.02E-06,-0.00132403,2.31E-03
2.76,0,0,3.60E-38,-2.58E-37,0,-9.73E-06,-0.00129994,0,0.0022926,0,0,0,0,27.352,-11.446,-26.3329,-11.3337,13.2265,-9.73E-06,-0.00129994,2.29E-03
2.8,0,0,3.71E-38,-2.51E-37,0,-1.04E-05,-0.00127613,0,0.00226986,0,0,0,0,27.0097,-11.2539,-25.8582,-11.1336,13.0954,-1.04E-05,-0.00127613,2.27E-03
2.84,0,0,3.80E-38,-2.45E-37,0,-1.11E-05,-0.00125262,0,0.00224581,0,0,0,0,26.6587,-11.064,-25.3893,-10.936,12.9566,-1.11E-05,-0.00125262,2.25E-03
